City, Dist, State, Country
"Meerut","Meerut","Uttar Pradesh","India"
"Ghaziabad","Ghaziabad","Uttar Pradesh","India"
"Agra","Agra","Uttar Pradesh","India"
"Aligarh","Aligarh","Uttar Pradesh","India"
"Bareilly","Bareilly","Uttar Pradesh","India"
"Moradabad","Moradabad","Uttar Pradesh","India"
"Saharanpur","Saharanpur","Uttar Pradesh","India"
"Gorakhpur","Gorakhpur","Uttar Pradesh","India"
"Noida","Gautam Buddha Nagar","Uttar Pradesh","India"
"Firozabad","Firozabad","Uttar Pradesh","India"
"Jhansi","Jhansi","Uttar Pradesh","India"
"Mathura","Mathura","Uttar Pradesh","India"
"Rampur","Rampur","Uttar Pradesh","India"
"Shahjahanpur","Shahjahanpur","Uttar Pradesh","India"
"Muzaffarnagar","Muzaffarnagar","Uttar Pradesh","India"
"Hisar","Hisar","Haryana","India"
"Baharampur","Murshidabad","West Bengal","India"
"Barwani","Barwani","Madhya Pradesh","India"
"Anand","Anand","Gujarat","India"
"Ahmedabad","Ahmedabad","Gujarat","India"
"Vadodara","Vadodara","Gujarat","India"
"Surat","Surat","Gujarat","India"
"Rajkot","Rajkot","Gujarat","India"
"Bhavnagar","Bhavnagar","Gujarat","India"
"Jamnagar","Jamnagar","Gujarat","India"
"Junagadh","Junagadh","Gujarat","India"
"Nadiad","Kheda","Gujarat","India"
"Bansberia","Hooghly","West Bengal","India"
"Delhi","Delhi","Delhi","India"
"Rohtak","Rohtak","Haryana","India"
"Pardi","Valsad","Gujarat","India"
"Durg","Durg","Chhattisgarh","India"
"Bhilai","Durg","Chhattisgarh","India"
"Korba","Korba","Chhattisgarh","India"
"Bilaspur","Bilaspur","Chhattisgarh","India"
"Raigarh","Raigarh","Chhattisgarh","India"
"Raipur","Raipur","Chhattisgarh","India"
"Jagdalpur","Bastar","Chhattisgarh","India"
"Ambikapur","Surguja","Chhattisgarh","India"
"Ambala","Ambala","Haryana","India"
"Bhiwani","Bhiwani","Haryana","India"
"Rewari","Rewari","Haryana","India"
"Palwal","Palwal","Haryana","India"
"Panchkula","Panchkula","Haryana","India"
"Karnal","Karnal","Haryana","India"
"Gurgaon","Gurgaon","Haryana","India"
"Faridabad","Faridabad","Haryana","India"
"Panipat","Panipat","Haryana","India"
"Sonipat","Sonipat","Haryana","India"
"Yamunanagar","Yamunanagar","Haryana","India"
"Bhopal","Bhopal","Madhya Pradesh","India"
"Indore","Indore","Madhya Pradesh","India"
"Jabalpur","Jabalpur","Madhya Pradesh","India"
"Gwalior","Gwalior","Madhya Pradesh","India"
"Ujjain","Ujjain","Madhya Pradesh","India"
"Sagar","Sagar","Madhya Pradesh","India"
"Dewas","Dewas","Madhya Pradesh","India"
"Satna","Satna","Madhya Pradesh","India"
"Ratlam","Ratlam","Madhya Pradesh","India"
"Rewa","Rewa","Madhya Pradesh","India"
"Murwara (Katni)","Katni","Madhya Pradesh","India"
"Singrauli","Singrauli","Madhya Pradesh","India"
"Burhanpur","Burhanpur","Madhya Pradesh","India"
"Khandwa","Khandwa","Madhya Pradesh","India"
"Morena","Morena","Madhya Pradesh","India"
"Bhind","Bhind","Madhya Pradesh","India"
"Chhindwara","Chhindwara","Madhya Pradesh","India"
"Guna","Guna","Madhya Pradesh","India"
"Shivpuri","Shivpuri","Madhya Pradesh","India"
"Damoh","Damoh","Madhya Pradesh","India"
"Khargone","Khargone","Madhya Pradesh","India"
"Neemuch","Neemuch","Madhya Pradesh","India"
"Mandsaur","Mandsaur","Madhya Pradesh","India"
"Hoshangabad","Hoshangabad","Madhya Pradesh","India"
"Itarsi","Hoshangabad","Madhya Pradesh","India"
"Sehore","Sehore","Madhya Pradesh","India"
"Vidisha","Vidisha","Madhya Pradesh","India"
"Seoni","Seoni","Madhya Pradesh","India"
"Chhatarpur","Chhatarpur","Madhya Pradesh","India"
"Mhow","Indore","Madhya Pradesh","India"
"Raisen","Raisen","Madhya Pradesh","India"
"Rajgarh","Rajgarh","Madhya Pradesh","India"
"Umaria","Umaria","Madhya Pradesh","India"
"Sidhi","Sidhi","Madhya Pradesh","India"
"Balaghat","Balaghat","Madhya Pradesh","India"
"Panna","Panna","Madhya Pradesh","India"
"Anuppur","Anuppur","Madhya Pradesh","India"
"Harda","Harda","Madhya Pradesh","India"
"Betul","Betul","Madhya Pradesh","India"
"Shajapur","Shajapur","Madhya Pradesh","India"
"Mandla","Mandla","Madhya Pradesh","India"
"Narsimhapur","Narsimhapur","Madhya Pradesh","India"
"Dindori","Dindori","Madhya Pradesh","India"
"Manavadar","Junagadh","Gujarat","India"
"Umreth","Anand","Gujarat","India"
"Thangadh","Surendranagar","Gujarat","India"
"Mahuva","Bhavnagar","Gujarat","India"
"Vapi","Valsad","Gujarat","India"
"Wadhwan","Surendranagar","Gujarat","India"
"Mahemdavad","Kheda","Gujarat","India"
"Lunawada","Mahisagar","Gujarat","India"
"Morbi","Morbi","Gujarat","India"
"Surendranagar","Surendranagar","Gujarat","India"
"Bharuch","Bharuch","Gujarat","India"
"Porbandar","Porbandar","Gujarat","India"
"Godhra","Panch Mahals","Gujarat","India"
"Navsari","Navsari","Gujarat","India"
"Veraval","Gir Somnath","Gujarat","India"
"Bhuj","Kutch","Gujarat","India"
"Palanpur","Banaskantha","Gujarat","India"
"Botad","Botad","Gujarat","India"
"Valsad","Valsad","Gujarat","India"
"Jetpur","Rajkot","Gujarat","India"
"Dwarka","Devbhoomi Dwarka","Gujarat","India"
"Mahesana","Mahesana","Gujarat","India"
"Savarkundla","Amreli","Gujarat","India"
"Visnagar","Mahesana","Gujarat","India"
"Gandhidham","Kutch","Gujarat","India"
"Palitana","Bhavnagar","Gujarat","India"
"Viramgam","Ahmedabad","Gujarat","India"
"Habra","North 24 Parganas","West Bengal","India"
"Kharagpur","Paschim Medinipur","West Bengal","India"
"Shantipur","Nadia","West Bengal","India"
"Dankuni","Hooghly","West Bengal","India"
"Dhulian","Murshidabad","West Bengal","India"
"Ranaghat","Nadia","West Bengal","India"
"Haldia","Purba Medinipur","West Bengal","India"
"Raiganj","Uttar Dinajpur","West Bengal","India"
"Krishnanagar","Nadia","West Bengal","India"
"Nabadwip","Nadia","West Bengal","India"
"Medinipur","Paschim Medinipur","West Bengal","India"
"Jalpaiguri","Jalpaiguri","West Bengal","India"
"Balurghat","Dakshin Dinajpur","West Bengal","India"
"Basirhat","North 24 Parganas","West Bengal","India"
"Bankura","Bankura","West Bengal","India"
"Chakdaha","Nadia","West Bengal","India"
"Darjeeling","Darjeeling","West Bengal","India"
"Alipurduar","Alipurduar","West Bengal","India"
"Purulia","Purulia","West Bengal","India"
"Jangipur","Murshidabad","West Bengal","India"
"Cooch Behar","Cooch Behar","West Bengal","India"
"South Dum Dum","North 24 Parganas","West Bengal","India"
"Barasat","North 24 Parganas","West Bengal","India"
"Bhatpara","North 24 Parganas","West Bengal","India"
"Naihati","North 24 Parganas","West Bengal","India"
"Serampore","Hooghly","West Bengal","India"
"Kalyani","Nadia","West Bengal","India"
"Hugli-Chuchura","Hooghly","West Bengal","India"
"Haldibari","Cooch Behar","West Bengal","India"
"English Bazar","Malda","West Bengal","India"
"Murshidabad","Murshidabad","West Bengal","India"
"Malda","Malda","West Bengal","India"
"Jhargram","Jhargram","West Bengal","India"
"Jamalpur","Paschim Bardhaman","West Bengal","India"
"Chinsurah","Hooghly","West Bengal","India"
"North Dum Dum","North 24 Parganas","West Bengal","India"
"Panihati","North 24 Parganas","West Bengal","India"
"Kamarhati","North 24 Parganas","West Bengal","India"
"Bally","Howrah","West Bengal","India"
"Baranagar","North 24 Parganas","West Bengal","India"
"Dabgram","Darjeeling","West Bengal","India"
"Madhyamgram","North 24 Parganas","West Bengal","India"
"Nalhati","Birbhum","West Bengal","India"
"Rajpur Sonarpur","South 24 Parganas","West Bengal","India"
"Khardaha","North 24 Parganas","West Bengal","India"
"Rajarhat-Gopalpur","North 24 Parganas","West Bengal","India"
"Bankra","Howrah","West Bengal","India"
